Herbicide scenario	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	14	30	0	9	0	0	4	0	0	3	0	0	5	0	0	5	0	0	4
1	14	30	0	17	0	0	5	0	0	2	0	0	2	0	0	1	0	0	3
0	15	30	0	9	0	0	12	0	0	0	0	0	4	0	0	2	0	0	3
1	15	30	0	2	0	0	7	0	0	6	0	0	3	0	0	9	0	0	3
0	16	30	0	8	0	0	8	0	0	6	0	0	3	0	0	2	0	0	3
1	16	30	0	15	0	0	2	0	0	3	0	0	3	0	0	3	0	0	3
0	17	30	0	12	0	0	5	0	0	3	0	0	4	0	0	1	0	0	5
1	17	30	0	13	0	0	4	0	0	2	0	0	4	0	0	1	0	0	5
0	18	30	0	7	0	0	3	0	0	2	0	0	7	0	0	8	0	0	3
1	18	30	0	17	0	0	5	0	0	2	0	0	2	0	0	2	0	0	2
0	19	30	0	17	0	0	7	0	0	3	0	0	0	0	0	2	0	0	1
1	19	30	0	7	0	0	9	0	0	2	0	0	2	0	0	3	0	0	7
0	20	30	0	8	0	0	11	0	0	3	0	0	3	0	0	2	0	0	3
1	20	30	0	10	0	0	8	0	0	3	0	0	4	0	0	1	0	0	4
0	21	30	0	8	0	0	13	0	0	2	0	0	3	0	0	1	0	0	3
1	21	30	0	7	0	0	6	0	0	6	0	0	3	0	0	3	0	0	5
0	22	30	0	17	0	0	6	0	0	1	0	0	2	0	0	0	0	0	4
1	22	30	0	10	0	0	7	0	0	2	0	0	3	0	0	3	0	0	5
0	23	30	0	4	0	0	7	0	0	3	0	0	4	0	0	4	0	0	8
1	23	30	0	13	0	0	4	0	0	3	0	0	3	0	0	3	0	0	4
0	24	30	0	14	0	0	7	0	0	2	0	0	3	0	0	1	0	0	3
1	24	30	0	2	0	0	14	0	0	2	0	0	4	0	0	2	0	0	3
0	25	30	0	9	0	0	8	0	0	4	0	0	3	0	0	2	0	0	4
1	25	30	0	11	0	0	3	0	0	4	0	0	5	0	0	1	0	0	5
0	26	30	0	1	0	0	8	0	0	4	0	0	7	0	0	2	0	0	8
1	26	25	1	4	2	1	10	1	1	1	0	1	5	1	0	2	1	0	8
0	27	30	0	3	0	0	8	0	0	5	0	0	4	0	0	4	0	0	6
1	27	27	0	3	0	1	10	1	1	6	1	1	2	1	0	2	0	0	7
0	28	30	0	7	0	0	7	0	0	3	0	0	3	0	0	4	0	0	6
1	28	26	2	4	1	1	10	1	0	3	1	1	5	1	0	3	0	0	4
0	29	30	0	11	0	0	10	0	0	2	0	0	2	0	0	2	0	0	3
1	29	26	3	0	2	1	4	1	1	9	1	0	5	0	0	4	0	0	8
0	30	30	0	11	0	0	8	0	0	5	0	0	2	0	0	3	0	0	1
1	30	27	2	0	1	1	17	1	1	6	0	0	1	1	0	3	0	0	3
0	31	30	0	14	0	0	5	0	0	5	0	0	2	0	0	3	0	0	1
1	31	25	3	3	3	1	9	1	1	8	0	0	4	1	0	1	0	0	5
0	32	30	0	8	0	0	8	0	0	7	0	0	2	0	0	3	0	0	2
1	32	26	3	5	2	1	8	1	1	6	0	0	5	1	0	2	0	0	4
0	33	30	0	15	0	0	7	0	0	1	0	0	3	0	0	0	0	0	4
1	33	26	4	5	2	1	7	1	1	10	1	0	4	0	0	1	0	0	3
0	34	30	0	7	0	0	11	0	0	4	0	0	2	0	0	4	0	0	2
1	34	26	2	0	2	1	11	1	1	8	1	0	3	0	0	3	0	0	5
0	35	30	0	13	0	0	8	0	0	3	0	0	2	0	0	2	0	0	2
1	35	26	2	5	2	1	12	1	1	9	1	0	1	0	0	1	0	0	2
0	36	30	0	6	0	0	4	0	0	4	0	0	3	0	0	8	0	0	5
1	36	30	0	7	0	0	12	0	0	2	0	0	4	0	0	3	0	0	2
0	37	30	0	14	0	0	4	0	0	4	0	0	3	0	0	4	0	0	1
1	37	30	0	1	0	0	7	0	0	7	0	0	5	0	0	4	0	0	6
0	38	30	0	10	0	0	12	0	0	3	0	0	2	0	0	1	0	0	2
1	38	30	0	8	0	0	8	0	0	8	0	0	3	0	0	1	0	0	2
0	39	30	0	10	0	0	9	0	0	1	0	0	4	0	0	4	0	0	2
1	39	30	0	2	0	0	4	0	0	3	0	0	8	0	0	4	0	0	9
0	40	30	0	5	0	0	9	0	0	4	0	0	3	0	0	4	0	0	5
1	40	30	0	4	0	0	9	0	0	7	0	0	2	0	0	3	0	0	5
